seed,epoch,observer,component,base_loss,shadow_loss,loss_improvement,improvement_per_delta_norm,base_validation_loss,shadow_validation_loss,validation_loss_improvement,validation_improvement_per_delta_norm,component_norm,delta_norm
4111,0,random_12,null,2.2787858318033285,2.2787111224314733,7.470937185516391e-05,0.2040932873895998,2.2606139743460085,2.2605392122241277,7.476212188084475e-05,0.204237391481011,0.20410585637662762,0.00036605501734385287
4111,0,random_13,visible,2.2787858318033285,2.2787075655358717,7.826626745677245e-05,0.21381012074273315,2.2606139743460085,2.2605424403934546,7.153395255388162e-05,0.19541858235666903,0.21382407578188756,0.00036605501734385287
4111,0,random_13,null,2.2787858318033285,2.2787202473787214,6.558442460713465e-05,0.1791654846941439,2.2606139743460085,2.260548628539984,6.534580602446383e-05,0.1785136193423116,0.179178655235567,0.00036605501734385287
4111,0,random_14,visible,2.2787858318033285,2.278718491548847,6.734025448151826e-05,0.18396211304559817,2.2606139743460085,2.2605488434504597,6.513089554882612e-05,0.17792652050346183,0.18397649078299244,0.00036605501734385287
4111,0,random_14,null,2.2787858318033285,2.278709069923418,7.676187991068062e-05,0.20970039003337726,2.2606139743460085,2.2605423424894857,7.163185652281356e-05,0.1956860393352466,0.2097102208171554,0.00036605501734385287
4111,0,random_15,visible,2.2787858318033285,2.2787146065343875,7.122526894098868e-05,0.19457531126826055,2.2606139743460085,2.260544749428675,6.922491733352132e-05,0.18911069116283977,0.1945880686626732,0.00036605501734385287
4111,0,random_15,null,2.2787858318033285,2.278712660570356,7.317123297267969e-05,0.19989135377414174,2.2606139743460085,2.2605462715613887,6.770278461987189e-05,0.1849524836761777,0.19990300000283973,0.00036605501734385287
4111,10,dstm,visible,1.3135828926590232,1.3134843421678049,9.855049121831883e-05,0.09832133707745871,1.3303596174852355,1.3302492713332505,0.00011034615198490805,0.11008957003039191,0.09837547174910245,0.001002330665424938
4111,10,dstm,null,1.3135828926590232,1.3134088369499,0.0001740557091232109,0.17365098677233423,1.3303596174852355,1.3301892487870548,0.00017036869818065625,0.16997254903742612,0.1737135252340921,0.001002330665424938
4111,10,random_00,visible,1.3135828926590232,1.3134529911772574,0.00012990148176572625,0.12959942885779566,1.3303596174852355,1.3302280080504578,0.00013160943477763531,0.13130341045870275,0.12966331334556624,0.001002330665424938
4111,10,random_00,null,1.3135828926590232,1.313430792762054,0.00015209989696907122,0.15174622728377613,1.3303596174852355,1.3302055549659306,0.00015406251930483172,0.15370428603969422,0.15179442500751963,0.001002330665424938
4111,10,random_01,visible,1.3135828926590232,1.3134550132499223,0.0001278794091008617,0.12758205800941672,1.3303596174852355,1.3302357551376345,0.00012386234760097814,0.12357433716593585,0.12763233548732988,0.001002330665424938
4111,10,random_01,null,1.3135828926590232,1.313429091918073,0.0001538007409500608,0.15344311638400984,1.3303596174852355,1.330199090527688,0.00016052695754753543,0.16015369287288045,0.15350605600159128,0.001002330665424938
4111,10,random_02,visible,1.3135828926590232,1.3134392939812793,0.00014359867774382806,0.14326477548499367,1.3303596174852355,1.3302179716720564,0.00014164581317910319,0.1413164518108926,0.14332312902754724,0.001002330665424938
4111,10,random_02,null,1.3135828926590232,1.313443654067927,0.00013923859109610248,0.13891482711154235,1.3303596174852355,1.3302146251531521,0.00014499233208331574,0.14465518923522733,0.1389697915982716,0.001002330665424938
4111,10,random_03,visible,1.3135828926590232,1.3134508992739944,0.00013199338502878355,0.13168646793104444,1.3303596174852355,1.330223624230361,0.00013599325487456682,0.13567703709525086,0.13175642443735827,0.001002330665424938
4111,10,random_03,null,1.3135828926590232,1.3134326220211148,0.00015027063790840067,0.1499212217005188,1.3303596174852355,1.3302093947605624,0.00015022272467302145,0.14987341987520109,0.1499812218599272,0.001002330665424938
4111,10,random_04,visible,1.3135828926590232,1.3134291709425154,0.00015372171650773758,0.15336427569295932,1.3303596174852355,1.3301995058721106,0.00016011161312490252,0.15973931422822746,0.15343274663274467,0.001002330665424938
4111,10,random_04,null,1.3135828926590232,1.3134549242883884,0.00012796837063477895,0.12767081268587824,1.3303596174852355,1.330235258829507,0.0001243586557284626,0.12406949125490514,0.1277204547120233,0.001002330665424938
